[2019-07-26 10:22:47.032] [DEBUG] [CallBackActor] [AbsService][FindbyKeyRtnDt] -pre excute sql:SELECT  EQUIPMENTNAME , RMSUSEFLAG , CURRENTSTATUSTIME , EQUIPMENTSTATUS , EQUIPMENTTYPE , OLDEQUIPMENTSTATUS , ONLINECONTROLSTATUS , SHOP , PROJECTTYPE , STATUSCODE , DESCRIPTION , ISCONNECTED FROM EQUIPMENT
[2019-07-26 10:22:47.225] [DEBUG] [CallBackActor] [SQLiteHelper][ExecuteNonQuery] -Pre Excute sql [UPDATE  EQUIPMENT   SET  EQUIPMENTNAME = 'ASSY01' ,  RMSUSEFLAG = 'N' ,  CURRENTSTATUSTIME = '2019-04-24 16:02:47.924' ,  EQUIPMENTSTATUS = 'Run' ,  EQUIPMENTTYPE = 'Assembly' ,  OLDEQUIPMENTSTATUS = 'Run' ,  ONLINECONTROLSTATUS = 'Local' ,  SHOP = 'Modul' ,  PROJECTTYPE = 'New' ,  STATUSCODE = '' ,  DESCRIPTION = 'BMDT Assembly Line' ,  ISCONNECTED = 'True'   WHERE  EQUIPMENTNAME = 'ASSY01' ]
[2019-07-26 10:23:12.373] [DEBUG] [CallBackActor] [AbsService][FindbyKeyRtnDt] -pre excute sql:SELECT  EQUIPMENTNAME , RMSUSEFLAG , CURRENTSTATUSTIME , EQUIPMENTSTATUS , EQUIPMENTTYPE , OLDEQUIPMENTSTATUS , ONLINECONTROLSTATUS , SHOP , PROJECTTYPE , STATUSCODE , DESCRIPTION , ISCONNECTED FROM EQUIPMENT
[2019-07-26 10:23:12.376] [DEBUG] [CallBackActor] [SQLiteHelper][ExecuteNonQuery] -Pre Excute sql [UPDATE  EQUIPMENT   SET  EQUIPMENTNAME = 'ASSY01' ,  RMSUSEFLAG = 'N' ,  CURRENTSTATUSTIME = '2019-04-24 16:02:47.924' ,  EQUIPMENTSTATUS = 'Run' ,  EQUIPMENTTYPE = 'Assembly' ,  OLDEQUIPMENTSTATUS = 'Run' ,  ONLINECONTROLSTATUS = 'Local' ,  SHOP = 'Modul' ,  PROJECTTYPE = 'New' ,  STATUSCODE = '' ,  DESCRIPTION = 'BMDT Assembly Line' ,  ISCONNECTED = 'True'   WHERE  EQUIPMENTNAME = 'ASSY01' ]
[2019-07-26 10:23:20.453] [DEBUG] [9] [AbsService][FindbyKeyRtnDt] -pre excute sql:SELECT  EQUIPMENTNAME , RMSUSEFLAG , CURRENTSTATUSTIME , EQUIPMENTSTATUS , EQUIPMENTTYPE , OLDEQUIPMENTSTATUS , ONLINECONTROLSTATUS , SHOP , PROJECTTYPE , STATUSCODE , DESCRIPTION , ISCONNECTED FROM EQUIPMENT
[2019-07-26 10:23:20.458] [DEBUG] [9] [SQLiteHelper][ExecuteNonQuery] -Pre Excute sql [UPDATE  EQUIPMENT   SET  EQUIPMENTNAME = 'ASSY01' ,  RMSUSEFLAG = 'N' ,  CURRENTSTATUSTIME = '2019-04-24 16:02:47.924' ,  EQUIPMENTSTATUS = 'Run' ,  EQUIPMENTTYPE = 'Assembly' ,  OLDEQUIPMENTSTATUS = 'Run' ,  ONLINECONTROLSTATUS = 'Offline' ,  SHOP = 'Modul' ,  PROJECTTYPE = 'New' ,  STATUSCODE = '' ,  DESCRIPTION = 'BMDT Assembly Line' ,  ISCONNECTED = 'False'   WHERE  EQUIPMENTNAME = 'ASSY01' ]
[2019-07-26 10:23:36.575] [DEBUG] [mProtocol_OnEventReceived] [SQLiteHelper][OpenConnection] -DB connection Open.
[2019-07-26 10:23:36.706] [DEBUG] [mProtocol_OnEventReceived] [AbsService][FindbyKeyRtnDt] -pre excute sql:SELECT  EQUIPMENTNAME , RMSUSEFLAG , CURRENTSTATUSTIME , EQUIPMENTSTATUS , EQUIPMENTTYPE , OLDEQUIPMENTSTATUS , ONLINECONTROLSTATUS , SHOP , PROJECTTYPE , STATUSCODE , DESCRIPTION , ISCONNECTED FROM EQUIPMENT
[2019-07-26 10:23:36.935] [DEBUG] [mProtocol_OnEventReceived] [SQLiteHelper][ExecuteNonQuery] -Pre Excute sql [UPDATE  EQUIPMENT   SET  EQUIPMENTNAME = 'ASSY01' ,  RMSUSEFLAG = 'N' ,  CURRENTSTATUSTIME = '2019-04-24 16:02:47.924' ,  EQUIPMENTSTATUS = 'Run' ,  EQUIPMENTTYPE = 'Assembly' ,  OLDEQUIPMENTSTATUS = 'Run' ,  ONLINECONTROLSTATUS = 'Offline' ,  SHOP = 'Modul' ,  PROJECTTYPE = 'New' ,  STATUSCODE = '' ,  DESCRIPTION = 'BMDT Assembly Line' ,  ISCONNECTED = 'True'   WHERE  EQUIPMENTNAME = 'ASSY01' ]
[2019-07-26 10:23:58.017] [DEBUG] [mProtocol_OnEventReceived] [AbsService][FindbyKeyRtnDt] -pre excute sql:SELECT  EQUIPMENTNAME , RMSUSEFLAG , CURRENTSTATUSTIME , EQUIPMENTSTATUS , EQUIPMENTTYPE , OLDEQUIPMENTSTATUS , ONLINECONTROLSTATUS , SHOP , PROJECTTYPE , STATUSCODE , DESCRIPTION , ISCONNECTED FROM EQUIPMENT
